UserID,IS_HCP,TAXONOMY
115501,1,207QA0401X
115502,0,
115503,0,
115504,1,2080A0000X
115505,0,
115506,0,
115507,0,
115508,0,
115509,0,
115510,1,103T00000X
115511,1,2084N0402X
115512,0,
115513,0,
115514,0,
115515,0,
115516,0,
115517,0,
115518,1,103T00000X
115519,1,103T00000X
115520,0,
115521,0,
115522,0,
115523,1,103T00000X
115524,0,
115525,0,
115526,0,
115527,0,
115528,1,103T00000X
115529,0,
115530,1,103T00000X
115531,0,
115532,1,2080A0000X
115533,0,
115534,1,103T00000X
115535,0,
115536,0,
115537,0,
115538,1,2084N0402X
115539,0,
115540,1,2080A0000X
115541,1,103T00000X
115542,1,2084N0402X
115543,1,103T00000X
115544,1,103T00000X
115545,1,103T00000X
115546,1,103T00000X
115547,0,
115548,0,
115549,0,
115550,1,2080A0000X
115551,1,103T00000X
115552,0,
115553,0,
115554,0,
115555,1,363LA2100X
115556,0,
115557,0,
115558,1,103T00000X
115559,0,
115560,0,
115561,1,103T00000X
115562,0,
115563,0,
115564,1,103T00000X
115565,0,
115566,1,103T00000X
115567,0,
115568,0,
115569,0,
115570,1,2080A0000X
115571,0,
115572,1,103T00000X
115573,1,2080A0000X
115574,1,103T00000X
115575,0,
115576,1,2080A0000X
115577,0,
115578,1,2084N0402X
115579,1,2084N0008X
115580,0,
115581,0,
115582,0,
115583,1,2080A0000X
115584,1,103T00000X
115585,0,
115586,1,2080A0000X
115587,0,
115588,0,
115589,1,103T00000X
115590,0,
115591,0,
115592,1,103T00000X
115593,0,
115594,1,103T00000X
115595,0,
115596,1,103T00000X
115597,0,
115598,1,103T00000X
115599,0,
115600,0,
115601,1,2084N0402X
115602,0,
115603,1,103T00000X
115604,1,2080A0000X
115605,1,2084N0402X
115606,1,103T00000X
115607,0,
115608,0,
115609,1,2080A0000X
115610,0,
115611,0,
115612,0,
115613,1,103T00000X
115614,1,207RG0300X
115615,0,
115616,0,
115617,0,
115618,0,
115619,1,103T00000X
115620,0,
115621,1,103T00000X
115622,1,103T00000X
115623,1,207ND0101X
115624,0,
115625,0,
115626,0,
115627,1,103T00000X
115628,1,2084N0008X
115629,0,
115630,0,
115631,1,103T00000X
115632,0,
115633,0,
115634,1,2084N0402X
115635,1,103T00000X
115636,1,103T00000X
115637,0,
115638,1,103T00000X
115639,0,
115640,0,
115641,1,103T00000X
115642,0,
115643,1,103T00000X
115644,1,2084N0402X
115645,0,
115646,0,
115647,0,
115648,0,
115649,0,
115650,0,
115651,1,103T00000X
115652,1,103T00000X
115653,0,
115654,0,
115655,1,207RH0000X
115656,0,
115657,0,
115658,1,363LA2100X
115659,0,
115660,0,
115661,1,103T00000X
115662,1,103T00000X
115663,1,103T00000X
115664,0,
115665,1,103T00000X
115666,1,103T00000X
115667,0,
115668,1,2080A0000X
115669,1,103T00000X
115670,0,
115671,1,103T00000X
115672,1,103T00000X
115673,1,103T00000X
115674,1,103T00000X
115675,0,
115676,1,2080A0000X
115677,0,
115678,1,207RH0000X
115679,0,
115680,1,103T00000X
115681,0,
115682,1,103T00000X
115683,0,
115684,0,
115685,0,
115686,1,103T00000X
115687,1,103T00000X
115688,0,
115689,0,
115690,1,103T00000X
115691,1,103T00000X
115692,0,
115693,0,
115694,1,103T00000X
115695,1,363LA2100X
115696,1,103T00000X
115697,0,
115698,1,103T00000X
115699,1,103T00000X
115700,1,103T00000X
115701,1,2080A0000X
115702,0,
115703,1,2084N0402X
115704,0,
115705,1,103T00000X
115706,0,
115707,0,
115708,1,103T00000X
115709,0,
115710,0,
115711,0,
115712,1,103T00000X
115713,0,
115714,0,
115715,0,
115716,0,
115717,0,
115718,1,207RH0000X
115719,1,103T00000X
115720,1,103T00000X
115721,0,
115722,0,
115723,0,
115724,0,
115725,0,
115726,0,
115727,1,103T00000X
115728,0,
115729,0,
115730,0,
115731,0,
115732,1,2084N0402X
115733,1,103T00000X
115734,0,
115735,0,
115736,0,
115737,0,
115738,0,
115739,0,
115740,1,103T00000X
115741,1,207RH0000X
115742,0,
115743,1,2084N0008X
115744,1,103T00000X
115745,0,
115746,0,
115747,0,
115748,1,103T00000X
115749,0,
115750,0,
115751,0,
115752,0,
115753,1,103T00000X
115754,1,103T00000X
115755,0,
115756,0,
115757,1,103T00000X
115758,1,103T00000X
115759,0,
115760,1,103T00000X
115761,0,
115762,0,
115763,1,207QA0401X
115764,1,2084N0402X
115765,1,103T00000X
115766,0,
115767,0,
115768,1,103T00000X
115769,0,
115770,1,103T00000X
115771,0,
115772,1,103T00000X
115773,1,207RG0300X
115774,0,
115775,0,
115776,0,
115777,0,
115778,1,103T00000X
115779,1,103T00000X
115780,1,103T00000X
115781,0,
115782,1,103T00000X
115783,0,
115784,1,103T00000X
115785,0,
115786,0,
115787,1,103T00000X
115788,1,103T00000X
115789,1,103T00000X
115790,1,103T00000X
115791,1,207RH0000X
115792,0,
115793,0,
115794,0,
115795,0,
115796,0,
115797,0,
115798,1,103T00000X
115799,1,103T00000X
115800,0,
115801,1,103T00000X
115802,1,103T00000X
115803,1,103T00000X
115804,1,2084N0008X
115805,0,
115806,1,103T00000X
115807,1,207RH0000X
115808,0,
115809,1,103T00000X
115810,0,
115811,1,103T00000X
115812,1,103T00000X
115813,0,
115814,0,
115815,0,
115816,0,
115817,1,103T00000X
115818,1,103T00000X
115819,1,103T00000X
115820,0,
115821,0,
115822,0,
115823,0,
115824,0,
115825,0,
115826,0,
115827,1,103T00000X
115828,0,
115829,1,103T00000X
115830,0,
115831,0,
115832,1,103T00000X
115833,1,103T00000X
115834,0,
115835,0,
115836,1,2084N0402X
115837,0,
115838,1,2080A0000X
115839,1,103T00000X
115840,1,103T00000X
115841,0,
115842,1,103T00000X
115843,1,2084N0402X
115844,1,103T00000X
115845,0,
115846,0,
115847,1,103T00000X
115848,0,
115849,1,103T00000X
115850,1,103T00000X
115851,1,2080A0000X
115852,0,
115853,0,
115854,1,2084N0402X
115855,0,
115856,1,103T00000X
115857,0,
115858,1,103T00000X
115859,0,
115860,0,
115861,1,103T00000X
115862,0,
115863,1,103T00000X
115864,1,103T00000X
115865,0,
115866,1,103T00000X
115867,0,
115868,0,
115869,1,2084N0402X
115870,0,
115871,0,
115872,0,
115873,0,
115874,0,
115875,0,
115876,1,103T00000X
115877,1,2084N0402X
115878,1,103T00000X
115879,0,
115880,1,103T00000X
115881,1,103T00000X
115882,1,103T00000X
115883,0,
115884,0,
115885,1,103T00000X
115886,1,2084N0402X
115887,1,2084N0402X
115888,1,103T00000X
115889,0,
115890,1,103T00000X
115891,0,
115892,0,
115893,0,
115894,1,103T00000X
115895,1,103T00000X
115896,0,
115897,1,103T00000X
115898,0,
115899,0,
115900,0,
115901,1,207ND0101X
115902,0,
115903,1,103T00000X
115904,0,
115905,0,
115906,0,
115907,0,
115908,0,
115909,1,2084N0402X
115910,0,
115911,1,103T00000X
115912,0,
115913,0,
115914,1,2084N0402X
115915,0,
115916,0,
115917,1,103T00000X
115918,1,103T00000X
115919,1,103T00000X
115920,1,2084N0008X
115921,0,
115922,1,103T00000X
115923,0,
115924,0,
115925,1,103T00000X
