ID,IS_HCP
115501,1
115502,0
115503,0
115504,1
115505,0
115506,0
115507,0
115508,0
115509,0
115510,1
115511,1
115512,0
115513,0
115514,0
115515,0
115516,0
115517,0
115518,1
115519,1
115520,0
115521,0
115522,0
115523,1
115524,0
115525,0
115526,0
115527,0
115528,1
115529,0
115530,1
115531,0
115532,1
115533,0
115534,1
115535,0
115536,0
115537,0
115538,1
115539,0
115540,1
115541,1
115542,1
115543,1
115544,1
115545,1
115546,1
115547,0
115548,0
115549,0
115550,1
115551,1
115552,0
115553,0
115554,0
115555,1
115556,0
115557,0
115558,1
115559,0
115560,0
115561,1
115562,0
115563,0
115564,1
115565,0
115566,1
115567,0
115568,0
115569,0
115570,1
115571,0
115572,1
115573,1
115574,1
115575,0
115576,1
115577,0
115578,1
115579,1
115580,0
115581,0
115582,0
115583,1
115584,1
115585,0
115586,1
115587,0
115588,0
115589,1
115590,0
115591,0
115592,1
115593,0
115594,1
115595,0
115596,1
115597,0
115598,1
115599,0
115600,0
115601,1
115602,0
115603,1
115604,1
115605,1
115606,1
115607,0
115608,0
115609,1
115610,0
115611,0
115612,0
115613,1
115614,1
115615,0
115616,0
115617,0
115618,0
115619,1
115620,0
115621,1
115622,1
115623,1
115624,0
115625,0
115626,0
115627,1
115628,1
115629,0
115630,0
115631,1
115632,0
115633,0
115634,1
115635,1
115636,1
115637,0
115638,1
115639,0
115640,0
115641,1
115642,0
115643,1
115644,1
115645,0
115646,0
115647,0
115648,0
115649,0
115650,0
115651,1
115652,1
115653,0
115654,0
115655,1
115656,0
115657,0
115658,1
115659,0
115660,0
115661,1
115662,1
115663,1
115664,0
115665,1
115666,1
115667,0
115668,1
115669,1
115670,0
115671,1
115672,1
115673,1
115674,1
115675,0
115676,1
115677,0
115678,1
115679,0
115680,1
115681,0
115682,1
115683,0
115684,0
115685,0
115686,1
115687,1
115688,0
115689,0
115690,1
115691,1
115692,0
115693,0
115694,1
115695,1
115696,1
115697,0
115698,1
115699,1
115700,1
115701,1
115702,0
115703,1
115704,0
115705,1
115706,0
115707,0
115708,1
115709,0
115710,0
115711,0
115712,1
115713,0
115714,0
115715,0
115716,0
115717,0
115718,1
115719,1
115720,1
115721,0
115722,0
115723,0
115724,0
115725,0
115726,0
115727,1
115728,0
115729,0
115730,0
115731,0
115732,1
115733,1
115734,0
115735,0
115736,0
115737,0
115738,0
115739,0
115740,1
115741,1
115742,0
115743,1
115744,1
115745,0
115746,0
115747,0
115748,1
115749,0
115750,0
115751,0
115752,0
115753,1
115754,1
115755,0
115756,0
115757,1
115758,1
115759,0
115760,1
115761,0
115762,0
115763,1
115764,1
115765,1
115766,0
115767,0
115768,1
115769,0
115770,1
115771,0
115772,1
115773,1
115774,0
115775,0
115776,0
115777,0
115778,1
115779,1
115780,1
115781,0
115782,1
115783,0
115784,1
115785,0
115786,0
115787,1
115788,1
115789,1
115790,1
115791,1
115792,0
115793,0
115794,0
115795,0
115796,0
115797,0
115798,1
115799,1
115800,0
115801,1
115802,1
115803,1
115804,1
115805,0
115806,1
115807,1
115808,0
115809,1
115810,0
115811,1
115812,1
115813,0
115814,0
115815,0
115816,0
115817,1
115818,1
115819,1
115820,0
115821,0
115822,0
115823,0
115824,0
115825,0
115826,0
115827,1
115828,0
115829,1
115830,0
115831,0
115832,1
115833,1
115834,0
115835,0
115836,1
115837,0
115838,1
115839,1
115840,1
115841,0
115842,1
115843,1
115844,1
115845,0
115846,0
115847,1
115848,0
115849,1
115850,1
115851,1
115852,0
115853,0
115854,1
115855,0
115856,1
115857,0
115858,1
115859,0
115860,0
115861,1
115862,0
115863,1
115864,1
115865,0
115866,1
115867,0
115868,0
115869,1
115870,0
115871,0
115872,0
115873,0
115874,0
115875,0
115876,1
115877,1
115878,1
115879,0
115880,1
115881,1
115882,1
115883,0
115884,0
115885,1
115886,1
115887,1
115888,1
115889,0
115890,1
115891,0
115892,0
115893,0
115894,1
115895,1
115896,0
115897,1
115898,0
115899,0
115900,0
115901,1
115902,0
115903,1
115904,0
115905,0
115906,0
115907,0
115908,0
115909,1
115910,0
115911,1
115912,0
115913,0
115914,1
115915,0
115916,0
115917,1
115918,1
115919,1
115920,1
115921,0
115922,1
115923,0
115924,0
115925,1
115926,1
115927,0
115928,0
115929,1
115930,1
115931,0
115932,0
115933,1
115934,0
115935,0
115936,1
115937,1
115938,1
115939,0
115940,1
115941,0
115942,1
115943,0
115944,0
115945,0
115946,1
115947,1
115948,1
115949,1
115950,1
115951,0
115952,0
115953,0
115954,1
115955,0
115956,1
115957,0
115958,0
115959,0
115960,1
115961,0
115962,0
115963,0
115964,1
115965,0
115966,0
115967,1
115968,0
115969,1
115970,0
115971,1
115972,1
115973,1
115974,0
115975,1
115976,0
115977,0
115978,0
115979,1
115980,1
115981,1
115982,0
115983,1
115984,1
115985,1
115986,0
115987,0
115988,0
115989,1
115990,0
115991,0
115992,1
115993,0
115994,1
115995,0
115996,0
115997,0
115998,0
115999,0
116000,1
116001,0
116002,0
116003,1
116004,1
116005,1
116006,0
116007,0
116008,0
116009,1
116010,0
116011,0
116012,1
116013,1
116014,0
116015,0
116016,1
116017,0
116018,0
116019,1
116020,0
116021,0
116022,1
116023,1
116024,1
116025,0
116026,1
116027,0
116028,1
116029,0
116030,1
116031,1
116032,0
116033,0
116034,0
116035,0
116036,0
116037,1
116038,0
116039,0
116040,1
116041,0
116042,1
116043,1
116044,0
116045,1
116046,1
116047,1
116048,0
116049,1
116050,0
116051,1
116052,1
116053,1
116054,0
116055,0
116056,1
116057,0
116058,0
116059,1
116060,1
116061,0
116062,0
116063,0
116064,1
116065,0
116066,0
116067,0
116068,0
116069,1
116070,1
116071,0
116072,0
116073,0
116074,0
116075,0
116076,1
116077,1
116078,0
116079,0
116080,0
116081,1
116082,1
116083,1
116084,0
116085,0
116086,1
116087,1
116088,1
116089,0
116090,0
116091,1
116092,0
116093,1
116094,0
116095,1
116096,1
116097,1
116098,0
116099,1
116100,0
116101,0
116102,0
116103,0
116104,0
116105,0
116106,1
116107,1
116108,0
116109,0
116110,1
116111,0
116112,1
116113,1
116114,0
116115,0
116116,0
116117,0
116118,1
116119,0
116120,0
116121,1
116122,1
116123,0
116124,1
116125,1
116126,0
116127,1
116128,1
116129,1
116130,1
116131,0
116132,0
116133,1
116134,0
116135,1
116136,0
116137,0
116138,0
116139,1
116140,1
116141,1
116142,0
116143,0
116144,0
116145,0
116146,0
116147,1
116148,0
116149,0
116150,0
116151,1
116152,1
116153,1
116154,1
116155,0
116156,0
116157,0
116158,1
116159,1
116160,1
116161,0
116162,1
116163,0
116164,0
116165,1
116166,0
116167,1
116168,0
116169,0
116170,0
116171,1
116172,0
116173,1
116174,0
116175,0
116176,1
116177,0
116178,0
116179,0
116180,1
116181,1
116182,1
116183,0
116184,0
116185,0
116186,0
116187,0
116188,0
116189,0
116190,1
116191,0
116192,1
116193,1
116194,1
116195,0
116196,1
116197,0
116198,1
116199,1
116200,0
116201,0
116202,1
116203,1
116204,1
116205,1
116206,1
116207,0
116208,0
116209,0
116210,1
116211,1
116212,1
116213,0
116214,0
116215,0
116216,0
116217,1
116218,0
116219,0
116220,1
116221,1
116222,0
116223,0
116224,0
116225,1
116226,1
116227,1
116228,1
116229,1
116230,1
116231,0
116232,1
116233,1
116234,0
116235,0
116236,0
116237,1
116238,1
116239,1
116240,0
116241,1
116242,0
116243,1
116244,1
116245,0
116246,1
116247,0
116248,1
116249,1
116250,1
116251,0
116252,1
116253,0
116254,1
116255,1
116256,1
116257,0
116258,0
116259,0
116260,0
116261,0
116262,1
116263,0
116264,0
116265,0
116266,1
116267,1
116268,0
116269,1
116270,0
116271,0
116272,1
116273,1
116274,1
116275,1
116276,0
116277,1
116278,0
116279,0
116280,1
116281,1
116282,0
116283,0
116284,1
116285,0
116286,0
116287,0
116288,0
116289,0
116290,0
116291,0
116292,0
116293,0
116294,0
116295,1
116296,0
116297,1
116298,1
116299,1
116300,1
116301,1
116302,1
116303,0
116304,1
116305,1
116306,0
116307,0
116308,1
116309,0
116310,0
116311,1
116312,0
116313,1
116314,0
116315,0
116316,0
116317,1
116318,0
116319,0
116320,1
116321,0
116322,0
116323,1
116324,0
116325,0
116326,1
116327,1
116328,0
116329,0
116330,1
116331,1
116332,1
116333,1
116334,0
116335,1
116336,0
116337,1
116338,0
116339,1
116340,1
116341,0
116342,0
116343,0
116344,0
116345,1
116346,1
116347,1
116348,0
116349,1
116350,1
116351,0
116352,0
116353,1
116354,1
116355,0
116356,1
116357,0
116358,0
116359,0
116360,0
116361,0
116362,1
116363,0
116364,0
116365,1
116366,0
116367,0
116368,0
116369,1
116370,1
116371,0
116372,1
116373,1
116374,1
116375,1
116376,1
116377,0
116378,0
116379,0
116380,0
116381,0
116382,1
116383,0
116384,0
116385,0
116386,1
116387,0
116388,0
116389,0
116390,0
116391,0
116392,1
116393,0
116394,1
116395,1
116396,0
116397,1
116398,1
116399,0
116400,0
116401,1
116402,0
116403,0
116404,1
116405,1
116406,0
116407,1
116408,1
116409,1
116410,0
116411,1
116412,0
116413,1
116414,1
116415,1
116416,1
116417,0
116418,1
116419,0
116420,0
116421,0
116422,1
116423,0
116424,1
116425,1
116426,0
116427,0
116428,0
116429,1
116430,0
116431,1
116432,1
116433,1
116434,1
116435,0
116436,1
116437,1
116438,0
116439,1
116440,1
116441,1
116442,0
116443,0
116444,1
116445,1
116446,1
116447,0
116448,1
116449,0
116450,0
116451,0
116452,1
116453,1
116454,0
116455,1
116456,0
116457,0
116458,0
116459,1
116460,0
116461,1
116462,0
116463,0
116464,1
116465,1
116466,1
116467,1
116468,0
116469,0
116470,0
116471,0
116472,0
116473,1
116474,1
116475,0
116476,1
116477,1
116478,1
116479,1
116480,1
116481,1
116482,0
116483,0
116484,1
116485,0
116486,1
116487,1
116488,0
116489,0
116490,1
116491,1
116492,0
116493,1
116494,0
116495,0
116496,0
116497,0
116498,0
116499,0
116500,0
116501,0
116502,0
116503,1
116504,0
116505,0
116506,0
116507,0
116508,0
116509,0
116510,0
116511,1
116512,1
116513,1
116514,1
116515,0
116516,1
116517,0
116518,1
116519,1
116520,0
116521,0
116522,1
116523,0
116524,1
116525,1
116526,0
116527,0
116528,0
116529,0
116530,0
116531,1
116532,1
116533,1
116534,1
116535,1
116536,0
116537,1
116538,0
116539,0
116540,1
116541,1
116542,1
116543,0
116544,1
116545,1
116546,1
116547,0
116548,1
116549,0
116550,0
116551,1
116552,0
116553,1
116554,1
116555,1
116556,0
116557,1
116558,1
116559,1
116560,0
116561,0
116562,0
116563,0
116564,1
116565,1
116566,0
116567,0
116568,1
116569,1
116570,0
116571,0
116572,1
116573,1
116574,1
116575,1
116576,0
116577,1
116578,0
116579,0
116580,1
116581,0
116582,0
116583,0
116584,1
116585,0
116586,0
116587,0
116588,1
116589,0
116590,1
116591,1
116592,0
116593,1
116594,0
116595,1
116596,1
116597,1
116598,1
116599,1
116600,1
116601,0
116602,1
116603,1
116604,1
116605,1
116606,1
116607,0
116608,1
116609,0
116610,1
116611,0
116612,1
116613,0
116614,0
116615,0
116616,0
116617,1
116618,1
116619,1
116620,0
116621,0
116622,1
116623,0
116624,1
116625,1
116626,0
116627,0
116628,0
116629,0
116630,0
116631,0
116632,0
116633,0
116634,0
116635,1
116636,0
116637,0
116638,0
116639,0
116640,0
116641,0
116642,0
116643,0
116644,0
116645,1
116646,1
116647,0
116648,0
116649,0
116650,1
116651,1
116652,0
116653,1
116654,1
116655,0
116656,1
116657,0
116658,0
116659,0
116660,0
116661,0
116662,1
116663,0
116664,0
116665,0
116666,1
116667,1
116668,1
116669,0
116670,1
116671,1
116672,0
116673,1
116674,0
116675,0
116676,1
116677,0
116678,0
116679,1
116680,0
116681,1
116682,0
116683,1
116684,0
116685,0
116686,1
116687,0
116688,1
116689,1
116690,1
116691,0
116692,1
116693,0
116694,1
116695,0
116696,1
116697,1
116698,0
116699,0
116700,0
116701,1
116702,1
116703,0
116704,0
116705,0
116706,1
116707,0
116708,1
116709,1
116710,1
116711,1
116712,1
116713,0
116714,0
116715,0
116716,1
116717,0
116718,0
116719,1
116720,1
116721,1
116722,0
116723,1
116724,1
116725,0
116726,0
116727,1
116728,1
116729,0
116730,0
116731,0
116732,0
116733,1
116734,1
116735,1
116736,0
116737,0
116738,0
116739,0
116740,0
116741,0
116742,0
116743,1
116744,0
116745,0
116746,0
116747,1
116748,0
116749,0
116750,0
116751,1
116752,0
116753,1
116754,1
116755,0
116756,0
116757,0
116758,0
116759,1
116760,1
116761,0
116762,1
116763,1
116764,1
116765,0
116766,1
116767,0
116768,1
116769,0
116770,1
116771,0
116772,1
116773,1
116774,0
116775,0
116776,0
116777,1
116778,0
116779,1
116780,1
116781,0
116782,0
116783,1
116784,1
116785,1
116786,0
116787,0
116788,1
116789,1
116790,0
116791,1
116792,1
116793,0
116794,0
116795,1
116796,1
116797,1
116798,0
116799,0
116800,0
116801,1
116802,0
116803,0
116804,0
116805,0
116806,1
116807,1
116808,0
116809,0
116810,1
116811,1
116812,0
116813,0
116814,0
116815,0
116816,0
116817,1
116818,1
116819,0
116820,1
116821,1
116822,0
116823,1
116824,1
116825,1
116826,1
116827,1
116828,0
116829,1
116830,0
116831,0
116832,1
116833,0
116834,1
116835,0
116836,0
116837,0
116838,0
116839,0
116840,1
116841,0
116842,1
116843,0
116844,1
116845,1
116846,0
116847,0
116848,1
116849,0
116850,1
116851,1
116852,1
116853,0
116854,0
116855,1
116856,1
116857,1
116858,1
116859,0
116860,1
116861,0
116862,1
116863,1
116864,0
116865,0
116866,1
116867,0
116868,1
116869,1
116870,0
116871,1
116872,1
116873,1
116874,0
116875,1
116876,0
116877,1
116878,0
116879,0
116880,0
116881,1
116882,0
116883,1
116884,1
116885,0
116886,0
116887,1
116888,0
116889,0
116890,0
116891,0
116892,1
116893,0
116894,1
116895,0
116896,0
116897,1
116898,0
116899,0
116900,1
116901,1
116902,0
116903,1
116904,0
116905,1
116906,1
116907,1
116908,1
116909,1
116910,1
116911,0
116912,1
116913,1
116914,0
116915,0
116916,0
116917,1
116918,0
116919,1
116920,1
116921,1
116922,0
116923,0
116924,1
116925,0
116926,0
116927,1
116928,0
116929,0
116930,0
116931,0
116932,0
116933,0
116934,0
116935,1
116936,1
116937,0
116938,0
116939,1
116940,0
116941,0
116942,0
116943,1
116944,1
116945,1
116946,0
116947,1
116948,0
116949,0
116950,0
116951,0
116952,0
116953,1
116954,1
116955,0
116956,0
116957,0
116958,0
116959,1
116960,0
116961,1
116962,0
116963,1
116964,0
116965,0
116966,0
116967,0
116968,0
116969,1
116970,0
116971,1
116972,0
116973,0
116974,0
116975,1
116976,1
116977,0
116978,0
116979,1
116980,1
116981,1
116982,0
116983,0
116984,1
116985,1
116986,1
116987,0
116988,0
116989,1
116990,0
116991,1
116992,1
116993,1
116994,1
116995,1
