ID,DEVICETYPE,PLATFORM_ID,BIDREQUESTIP,USERPLATFORMUID,USERCITY,USERZIPCODE,USERAGENT,PLATFORMTYPE,CHANNELTYPE,URL,KEYWORDS,IS_HCP
115501,0,2.0,12371,935,858,28305.0,1230,3,0,545,326,0.0
115502,1,2.0,6273,14094,560,16316.0,2119,3,0,2279,354,1.0
115503,0,2.0,2996,4194,593,91724.0,1328,3,0,2305,0,0.0
115504,0,7.0,10011,4308,324,11226.0,1356,3,0,793,412,0.0
115505,0,2.0,11872,16652,1610,30062.0,1443,3,0,2507,878,1.0
115506,0,2.0,2858,220,1314,64113.0,1515,3,0,2517,3,0.0
115507,0,9.0,8424,14505,3060,,1030,3,0,299,1662,0.0
115508,0,2.0,7762,10075,2470,98188.0,1531,3,0,419,362,0.0
115509,0,2.0,5532,1310,2462,85260.0,1520,3,0,1435,594,0.0
115510,1,2.0,10279,14671,2440,34232.0,2326,3,0,526,437,0.0
115511,0,10.0,4706,9359,3043,174024661.0,1443,3,0,1848,671,1.0
115512,0,2.0,8962,8540,2737,66614.0,1504,3,0,1469,729,0.0
115513,0,9.0,10192,8496,1833,94558.0,1476,3,0,304,1177,1.0
115514,1,2.0,13289,14157,1670,32904.0,2216,3,0,2606,637,0.0
115515,1,2.0,4632,5928,3060,,1070,3,0,526,437,0.0
115516,1,2.0,11647,11503,22,87109.0,31,3,0,1669,1692,0.0
115517,0,2.0,12886,6464,2739,90501.0,1531,3,0,545,326,0.0
115518,0,2.0,1682,15972,1314,64131.0,1369,3,0,1316,291,0.0
115519,0,2.0,195,16248,324,11204.0,1225,3,0,545,326,0.0
115520,0,2.0,9038,15184,655,11729.0,1508,3,0,1723,819,0.0
115521,0,2.0,2476,10891,1227,77002.0,1538,3,0,2520,391,0.0
115522,0,2.0,2004,3883,2599,63169.0,1639,3,0,1915,109,0.0
115523,0,2.0,8734,11815,942,75034.0,1520,3,0,625,1108,0.0
115524,0,2.0,3883,14618,97,22202.0,1526,3,0,2150,1020,0.0
115525,0,7.0,2557,7738,651,48128.0,1508,3,0,986,698,0.0
115526,0,2.0,409,2605,1930,29405.0,1497,3,0,2150,1020,0.0
115527,2,6.0,8489,8937,8,93510.0,1876,2,0,1831,1331,0.0
115528,0,2.0,6618,14808,2945,1886.0,1369,3,0,442,87,0.0
115529,0,7.0,1076,9481,2868,20002.0,1520,3,0,826,754,0.0
115530,1,2.0,13707,14570,475,46304.0,2023,3,0,657,602,1.0
115531,0,2.0,3883,14618,97,22202.0,1526,3,0,2150,1020,0.0
115532,1,9.0,4245,405,1054,15601.0,2027,3,0,326,22,1.0
115533,1,2.0,830,6627,3060,,2326,3,0,1316,291,0.0
115534,1,2.0,533,5875,1258,46226.0,2332,3,0,1316,291,0.0
115535,0,2.0,2429,17823,2070,33418.0,1508,3,0,2523,718,0.0
115536,0,2.0,917,7015,1890,10010.0,1476,3,0,1980,383,1.0
115537,0,7.0,7422,6958,967,75041.0,1369,3,0,955,734,1.0
115538,1,2.0,9637,13440,1482,300419782.0,2007,3,0,2581,358,1.0
115539,1,2.0,4437,1533,2317,33579.0,2361,3,0,1469,729,0.0
115540,0,7.0,10011,4308,324,11226.0,1356,3,0,793,412,0.0
